hosID,avPayments,dischargeNum,avCharges
10001,3428.583333,36,19540.55556
10006,3849.769231,13,20241.84615
10007,2808.088235,34,6417.205882
10011,2997,33,13311.78788
10016,3339.945946,74,21375.25676
10019,3072.153846,13,12569.92308
10023,3781.336207,116,12072.0431
10024,3121.70068,147,9999.986395
10025,3270.555556,18,7274.722222
10029,3163.428571,49,6660.367347
10033,4235.132075,106,15449.91509
10036,3088,22,9091.227273
10038,3489.407407,54,20074.90741
10039,3927.162162,37,21093.72973
10040,3091.258065,31,39035.25806
10046,3237.477273,132,23769.85606
10047,3200,12,4868.25
10049,2869,25,18100.56
10052,3697,13,4308.615385
10054,3350.4,30,23505.03333
10055,2890.142857,14,17560.85714
10056,2835.544118,68,10957.75
10065,3160,20,6935.45
10069,3386,20,7216.7
10078,2964.631579,76,14627.35526
10079,3292.076923,13,7006.384615
10083,2854,28,24424.71429
10085,3259.947368,19,8700.789474
10086,2881.806452,31,12268.80645
10089,3145,45,15938.66667
10090,3762.515152,33,11746.90909
10092,3492.176471,119,12790.15966
10099,3028,59,6131.627119
10100,2682.642857,28,9824.607143
10101,3682.78125,32,11883.65625
10103,3516.382353,34,13602.91176
10104,4170.535714,28,28750.57143
10108,2895.888889,18,13358.27778
10112,2868,49,4610.734694
10113,3079.277027,148,13840.5
10114,3079.421053,38,14490.31579
10118,3849.45283,53,12698
10120,3111,11,10512.09091
10125,3133.888889,18,7770.777778
10131,2889.285714,21,22905.2381
10139,2827.346667,75,33436.72
10149,3462.387097,62,11779.69355
10150,3415,17,20088.64706
10152,3119,15,9561.2
10158,3077,11,10494.45455
10164,3273.105263,38,14002.31579
10169,2946,13,14100.38462
20001,4717.045455,22,21674.04545
20006,6624.846154,26,23297.88462
20012,7776.916667,12,20370.83333
20026,6921,21,9672.190476
30001,4792.571429,14,25280.28571
30002,4254.654206,107,19261.30841
30006,3796.979592,49,17284.69388
30010,3540.942857,35,20766.42857
30011,3238.884615,52,19779.75
30012,3855.9,20,14897.4
30013,3812.676471,34,12019.26471
30014,4618.291667,24,22291.375
30016,3776.2,25,13770.2
30023,5768.428571,21,29439.47619
30024,4931.454545,11,28653.72727
30030,4150.4,25,19408.24
30033,3953.157895,19,33191.42105
30037,3927.142857,28,23530.46429
30038,4100.666667,12,28544.08333
30043,4355.75,24,18572.33333
30055,4250.565217,23,18259.78261
30061,3249.868687,99,19512.54545
30064,5551.076923,26,17778.5
30065,3951.305556,108,15517.97222
30069,3561.777778,36,17337.75
30073,4750.545455,11,5838.454545
30083,3767.916667,12,17366.08333
30085,3261.318182,22,18377.95455
30088,3402.411765,34,16608.08824
30089,3922.852174,115,18943.77391
30092,3618.782609,23,30050.47826
30093,3390.813725,102,20167.28431
30094,3866.888889,18,18505.22222
30100,3002,23,20740.26087
30101,3745.640449,89,30467.08989
30105,3258.189474,95,13627.76842
30110,4048.613333,75,15729.61333
30115,4335.797872,94,20683.38298
30117,3631.129032,31,18549.67742
30119,4468.166667,12,33414.33333
30120,3463.357143,14,21174.14286
30121,3711.413793,29,23006.41379
30122,3584.122449,49,16922.28571
30128,3010,16,17534.1875
40001,3457,25,8830.28
40004,3120.548387,31,13952.09677
40007,3290.053763,93,12981.07527
40010,2979.391304,23,12382.21739
40011,2961.92,25,3474.16
40014,3462.817308,104,9636.480769
40016,4152.357143,14,13519.92857
40017,3272.37931,29,12261.75862
40018,3006.157895,19,12657.36842
40020,3442.722222,72,6049.041667
40022,3278.454545,44,21729.36364
40026,3119.454545,22,16783.5
40027,2958.610526,95,7712.821053
40029,3037.923077,13,6996.846154
40036,3239.714286,21,10970.47619
40039,3161.2,25,7402.52
40041,3301.254545,55,15132.54545
40042,3961.75,16,13600.6875
40047,3389,12,6161.666667
40055,3160.877193,114,9894.561404
40062,2932.766667,60,11856.85
40078,3310.75,24,23123.375
40080,3133,21,21098.90476
40084,2995,12,13316.66667
40088,3317.367347,49,16517.10204
40114,3191.958904,73,11881.93151
40118,3108.295455,44,12731.36364
40119,3432.0625,16,14793.125
40134,2845.789474,38,10465.10526
40137,3060.333333,15,11996.73333
50002,5981.585714,70,37588.84286
50006,4392,11,28014
50007,4574.923077,13,27270.76923
50009,4580,25,38306
50013,5158.916667,24,18430.75
50017,4880.032258,31,36153.70968
50022,5026.469388,98,39190.61224
50024,4960.534884,43,20738.60465
50025,5932.4,25,14502.68
50026,4232.407407,54,29420.48148
50028,4125.923077,13,15769.23077
50030,4206.216216,111,18574.02703
50036,4388.791045,67,24943.71642
50038,7946.75,24,23206.66667
50039,3769.939394,33,27594.9697
50040,7433.388889,18,13159.5
50043,5714.22,100,27401.45
50045,5746.88,25,24593.24
50047,7794.925926,27,44102.25926
50054,4329.740741,27,17097.11111
50056,4622.769663,178,15021.80337
50057,4375.76,125,20898.24
50058,5347.183333,60,27182.25
50060,5466.589286,112,22252.66071
50063,6161,60,31580.41667
50075,4857,12,21144.33333
50077,4918.75,68,29354.29412
50078,4179.615385,13,29332.07692
50079,5213.452055,73,37053.76712
50082,4484.897959,98,30570.08163
50084,4747.361702,47,38929.08511
50089,5540.481481,27,30090.33333
50091,5266.166667,18,25129.5
50093,4095.218274,197,18450.18274
50099,3790.375,40,28167.725
50100,4503.404762,42,36706.66667
50101,5524.478261,23,29109.30435
50102,5049,29,35647.58621
50103,5963.829787,94,29103.7766
50104,6057.017544,57,29680.68421
50107,5382.833333,12,26529.41667
50108,4839.8,50,24998.34
50111,5059,37,19559.08108
50112,4701.390625,64,24889.04688
50115,3893,28,23402.14286
50116,4544.8,90,38300.71111
50118,3808.217391,23,52980.65217
50121,4270.054945,182,13809.74176
50122,4286.142857,14,44557.07143
50124,3700.243902,41,19131.12195
50125,6455.861538,65,66827.55385
50126,5420.944444,36,21850.11111
50128,4076.882353,17,21343.11765
50129,4546.337662,77,27887.02597
50132,4966.234043,47,37953.91489
50133,4245.641509,53,22615.92453
50135,5577.307692,13,17135.92308
50145,6408.740741,27,32270.96296
50149,5965.28125,64,20409.25
50153,5550.75,24,44902.70833
50158,3662.230769,13,25620.07692
50159,5852.384615,26,20432.03846
50167,6189.923077,13,32366.84615
50168,3638.586207,29,31588
50169,4031.512195,41,37190.60976
50174,4791.5,22,39413.72727
50179,4200.681481,135,34763.22222
50180,5808.37037,27,62419.81481
50191,5468.941176,34,28968.47059
50192,3849,18,12655.5
50194,6107.735294,34,43344.14706
50195,5777.190476,42,56381.88095
50204,3915,42,21292.97619
50211,4741,19,28608.42105
50219,4766.176471,34,13489.08824
50222,4419.628571,70,35221.42857
50224,3498,18,18669.83333
50225,3838.886792,53,48067.0566
50226,4152.898305,59,32735.27119
50228,7747.307692,26,22397
50230,7281.184211,38,33320.76316
50231,5163.025,40,40468.975
50232,3745.055556,18,26889.61111
50235,4102.1875,96,43516.14583
50236,3728,23,30394.86957
50238,4171,89,24327.88764
50239,5378.239669,121,37007.21488
50242,4994.413793,29,33289.06897
50243,5098.418605,43,42641.2093
50245,6192.205357,112,15729.0625
50248,7006.107143,28,35858.21429
50254,4672.257143,35,49313.57143
50257,5152.909091,11,11232.27273
50261,4994.034483,29,14500.58621
50262,7193.095238,21,27217.28571
50272,3777.77193,57,20589.84211
50276,8985.15,20,15988.25
50277,5697.277778,18,34973.05556
50278,4529.84127,63,50707.39683
50279,4564,17,18409.70588
50280,5006.928571,14,24885.64286
50289,5110.2,15,53408.46667
50290,3540.842105,19,19616.21053
50292,5286.111111,81,20146.60494
50296,5543,32,19807.21875
50298,4862,16,38904.625
50300,4220.668831,154,26248.93506
50305,5953.72549,51,30274.98039
50309,4117.52,50,24086.32
50320,7866.65,20,15588.05
50324,3468.375,16,31329.5
50327,6078.083333,48,22532.4375
50329,4379.186667,75,23143.22667
50334,5344.525,40,25986.4
50335,5210.464286,28,26998.25
50336,4353.45977,87,47352.62069
50342,4592.2,30,18785.06667
50348,6375.136364,22,40456.95455
50350,4805,66,11123.72727
50351,3778.109091,55,39488.12727
50353,4061.75,44,37865.45455
50359,4543,60,11704.61667
50360,4602.378378,37,33981.10811
50367,7093.469388,49,60588.69388
50376,7288.909091,11,15835.36364
50378,5766.44,25,11322.96
50380,5115.5,42,47722.42857
50382,5021.2,140,18899.82143
50390,4066.632653,49,17804.79592
50393,4673.978261,92,39956.78261
50394,3701.666667,12,31206
50396,4108.969697,33,14839.60606
50407,4661,24,21014.45833
50414,4187.416667,36,30691.44444
50426,4066.615385,52,27391.23077
50435,4222,18,20401.27778
50438,4280.821053,190,25412.96842
50441,7302.277778,18,57221.33333
50444,5083.171429,35,25256.28571
50454,7729.9375,16,37836.75
50455,4228,129,20426.77519
50464,4816.545455,22,79146.59091
50471,5139.373333,75,31148.46667
50481,3752.392857,28,33025.32143
50485,4603.034653,202,23267.23267
50488,4972.898305,59,23853.16949
50496,4667,21,61107.33333
50502,5732.965517,29,33824.7931
50512,4491.272727,11,14908.18182
50516,5714.118421,76,36026.89474
50517,5014.4375,16,23400.8125
50523,5086.173913,23,24593.21739
50526,4124.75,16,14684
50534,5089.12,25,31978.28
50549,4684.882353,51,28320.03922
50551,3682,23,33602.3913
50557,4222.590476,105,30443.94286
50567,3839.590164,61,31299.59016
50568,5067.4,15,8396.866667
50570,5099.27907,43,42541.67442
50573,3604.060914,197,35489.19289
50575,4471,15,22404.33333
50580,4876.611111,36,17358.94444
50581,4085.956522,69,34009.50725
50586,4385,21,15825.09524
50588,4245.976744,43,25554.60465
50589,3631.166667,12,32631.16667
50597,4124.04,25,22805.4
50599,6902.464286,28,46838.39286
50603,3754.274809,131,21188.75573
50604,4429.636364,11,21018.09091
50608,5397,14,19918.92857
50616,3588.450704,71,27152.33803
50624,3722.722222,36,44453.05556
50625,5094.71179,229,43714.62445
50633,4088.415385,65,37609.4
50636,3535.75,16,19585.0625
50663,5626.44898,49,15355.55102
50678,3918.72043,93,21286.73118
50684,3673,17,15496.58824
50701,3948.87234,141,14213.87234
50704,5197,11,16687.81818
50709,3883,23,16074.30435
50724,3668.388889,36,22551.44444
50727,4254.411765,34,31827.23529
50735,4961.875,24,29573.41667
50736,5732,22,46318.86364
50737,5990,49,52580.36735
50738,5648,15,32905.4
50739,4780.140351,228,31021.45175
50740,3601.171429,35,29119.02857
50742,4202.746835,79,50823.17722
50752,4222,89,32135.8764
50755,4155.882353,34,13133.26471
50757,3954.411765,51,19118.7451
50758,4995.962963,27,17478.81481
50761,3864.504425,113,31673.28319
50763,5824.538462,13,23308.23077
50764,4240,19,30198.68421
50765,3465,28,12699.67857
50770,3465,50,19109.94
60001,3721.123894,113,14352.99115
60003,3272.48,50,15920.8
60004,4215.545455,11,19860.81818
60006,3441,15,7877.4
60009,3336,29,22388.03448
60010,3285.352941,51,14140.80392
60011,5569.652174,46,12920.3913
60012,3440.428571,63,14859.84127
60013,4292.923077,13,13448.23077
60015,3691.470588,17,26984.29412
60016,3830,16,12236.9375
60020,3361.3125,32,19305.21875
60022,3536.777778,54,18480.51852
60023,3903.470588,51,12033.37255
60024,5446.150943,53,20689.45283
60027,3171.913043,23,23253.78261
60028,5473.272727,11,29906.90909
60030,3180.315789,19,12588.63158
60031,3268.059829,117,17324.61538
60064,3626.12,25,28012.96
60071,3353.431818,44,5345.431818
60100,3431.64,50,28087.64
60104,3659.2,40,21176.65
60113,3684.521739,23,31454.86957
60114,3191,17,28877.05882
60119,3407.055556,36,15704.72222
70001,4491.149533,107,14831.21495
70002,4958.985714,70,19386.1
