hosID,avPayments,dischargeNum,avCharges
10001,20657.2973,37,86504.43243
10006,16579.9697,33,80392.09091
10011,16246.78571,14,44442.71429
10016,17561.27273,11,65965.09091
10023,19653.33333,60,49828
10024,19601.44,25,62810.16
10029,16908.06061,33,28369.12121
10033,25276.42857,70,74636.07143
10039,22477.60938,64,105081.4531
10055,15682.81818,11,102231.4545
10056,15674.03846,26,54894.69231
10078,16036,30,59962.13333
10087,24175.42105,19,20095.42105
10090,16195.52381,21,50407.2381
10092,18023.22619,84,48725.94048
10103,18267.05263,19,97549.73684
10104,19337.73333,15,153780.7333
10113,16005.61667,60,38606.21667
10139,15799.4,15,152865.8667
10149,16761.63636,11,36573.90909
20001,29749.61538,13,90891.15385
30002,24244.15517,58,85223.43103
30006,21527,28,62373.96429
30007,28742.23077,13,103657.2308
30011,18097,12,104661.75
30023,30929.4,20,80749.65
30024,25726.78571,14,119248.3571
30030,22384.93846,65,63530.75385
30036,20213.27778,18,113368.1111
30055,21129.27273,11,79128.27273
30061,17240.57143,14,54885.85714
30064,34768.96154,26,102367.8846
30065,22576.38889,36,74653.08333
30087,18772.90909,11,92269.36364
30088,17521.8,15,59479.2
30089,20231.93103,29,63758.86207
30093,18199.94118,17,88821.52941
30103,22222.33333,12,55383.16667
30105,16836.0625,32,87986.8125
30115,20994.92308,13,74500.53846
30119,21789.85714,14,133559
40004,17826.36364,11,68583.27273
40007,20357.5,18,64638.66667
40016,26421.6087,23,57432.43478
40020,18143.57143,14,23631.35714
40022,19013.16667,18,71307.27778
40026,16885.25,12,53709.16667
40027,19357.08333,12,47376.16667
40036,21738.72727,22,66734.36364
40062,16671.5,12,48590.5
40071,19073.6,25,56285.32
40078,18127.525,40,112092.35
40114,18529.2963,27,65518.74074
40134,15145.78378,37,56321.51351
50007,26538.46667,30,149075.4667
50009,26311.78947,19,127031.8947
50013,28960.78571,14,163754.2143
50017,24685.8125,16,119194.4375
50022,25159.38776,49,96679.95918
50025,31832.38462,13,73794.69231
50026,21998.25926,27,116045
50036,24325.52,25,125256.52
50039,21816.79167,24,117135
50043,30395.43902,41,141412.5366
50047,39823.2,20,217555
50056,24314.18919,37,70053.45946
50057,25594,31,128649.8387
50058,34538.78571,14,150615.7143
50060,34035.47826,23,87046.86957
50063,33815.41379,58,134182.5517
50069,23517.06667,15,130483.4667
50077,26167.26471,34,112948.6765
50082,23109.5625,32,95543.625
50084,25223.9697,33,111297.2727
50093,25695.76316,38,114748.1842
50099,20720.20833,24,66950.91667
50100,26669.38095,42,151698.6429
50103,33316.41304,46,140450.9565
50104,32456.37037,27,71280.37037
50108,28094.22917,48,144901.8125
50115,21678.61111,18,95093.83333
50116,24893.75,12,96223.33333
50125,34215.25,16,193699.5
50126,27407.35294,34,81859.23529
50128,28818.83333,12,139333
